Width;204
Height;357
676;105;136
677;105;145
678;105;151
679;105;157
680;105;166
681;105;175
682;105;181
683;105;190
684;105;197
685;105;204
686;105;212
687;105;219
688;105;228
689;105;235
690;105;245
691;105;250
692;105;260
693;105;264
694;105;276
695;105;282
696;105;288
697;105;297
698;105;305
699;105;314
700;105;320
701;105;327
702;105;336
703;105;342
704;113;356
705;113;349
706;113;342
707;113;334
708;113;327
709;113;318
710;113;311
711;113;303
712;113;296
713;113;288
714;113;280
715;113;272
716;113;268
717;113;259
718;113;250
719;113;244
720;113;235
721;113;227
722;113;221
723;113;214
724;113;207
725;113;196
726;113;188
727;113;180
728;113;177
729;113;168
730;113;158
731;113;150
732;113;144
733;113;136
734;113;129
735;113;121
736;113;114
737;113;104
738;113;100
739;113;90
740;113;83
741;113;74
742;113;67
743;113;59
744;113;51
745;113;44
746;113;35
747;113;28
748;113;20
749;113;13
750;120;0
751;120;6
752;120;15
753;120;21
754;120;28
755;120;36
756;120;44
757;120;53
758;120;58
759;120;67
760;120;75
761;120;82
762;120;91
763;120;100
764;120;105
765;120;115
766;120;122
767;120;130
768;120;137
769;120;145
770;120;152
771;120;158
772;120;168
773;120;176
774;120;181
775;120;190
776;120;198
777;120;207
778;120;214
779;120;220
780;120;229
781;120;236
782;120;242
783;120;249
784;120;257
785;120;267
786;120;275
787;120;280
788;120;290
789;120;298
790;120;305
791;120;311
792;120;317
793;120;327
794;120;337
795;120;342
796;120;348
797;128;356
798;128;355
799;128;350
800;128;341
801;128;333
802;128;328
803;128;318
804;128;312
805;128;303
806;128;294
807;128;288
808;128;281
809;128;273
810;128;266
811;128;256
812;128;250
813;128;243
814;128;235
815;128;227
816;128;220
817;128;215
818;128;205
819;128;197
820;128;188
821;128;184
822;128;173
823;128;165
824;128;159
825;128;152
826;128;144
827;128;133
828;128;126
829;128;121
830;128;113
831;128;104
832;128;95
833;128;90
834;128;82
835;128;75
836;128;65
837;128;59
838;128;51
839;128;43
840;128;36
841;128;27
842;128;21
843;128;13
844;135;0
845;135;1
846;135;8
847;135;13
848;135;19
849;135;26
850;135;37
851;135;45
852;135;51
853;135;61
854;135;68
855;135;75
856;135;82
857;135;90
858;135;98
859;135;107
860;135;113
861;135;119
862;135;129
863;135;136
864;135;144
865;135;152
866;135;159
867;135;168
868;135;176
869;135;183
870;135;191
871;135;199
872;135;202
873;135;213
874;135;220
875;135;226
876;135;236
877;135;241
878;135;250
879;135;259
880;135;267
881;135;273
882;135;278
883;135;289
884;135;296
885;135;305
886;135;311
887;135;320
888;135;329
889;135;335
890;135;343
891;135;350
892;143;356
893;143;350
894;143;342
895;143;335
896;143;327
897;143;318
898;143;311
899;143;305
900;143;299
901;143;288
902;143;281
903;143;276
904;143;265
905;143;259
906;143;250
907;143;242
908;143;234
909;143;228
910;143;221
911;143;211
912;143;205
913;143;197
914;143;191
915;143;182
916;143;174
917;143;168
918;143;159
919;143;151
920;143;142
921;143;136
922;143;129
923;143;121
924;143;113
925;143;105
926;143;96
927;143;88
928;143;81
929;143;74
930;143;66
931;143;58
932;143;50
933;143;43
934;143;35
935;143;29
936;143;19
937;143;14
938;143;6
939;150;0
940;150;5
941;150;15
942;150;22
943;150;29
944;150;37
945;150;43
946;150;53
947;150;59
948;150;66
949;150;75
950;150;82
951;150;91
952;150;98
953;150;104
954;150;113
955;150;122
956;150;129
957;150;137
958;150;145
959;150;152
960;150;160
961;150;168
962;150;174
963;150;184
964;150;187
965;150;195
966;150;205
967;150;211
968;150;221
969;150;227
970;150;235
971;150;244
972;150;251
973;150;259
974;150;268
975;150;275
976;150;281
977;150;289
978;150;297
979;150;304
980;150;312
981;150;319
982;150;328
983;150;336
984;150;344
985;150;349
986;158;356
987;158;351
988;158;341
989;158;334
990;158;329
991;158;321
992;158;313
993;158;305
994;158;298
995;158;289
996;158;281
997;158;276
998;158;268
999;158;259
1000;158;251
1001;158;243
1002;158;234
1003;158;228
1004;158;220
1005;158;212
1006;158;203
1007;158;197
1008;158;189
1009;158;181
1010;158;174
1011;158;165
1012;158;158
1013;158;154
1014;158;143
1015;158;134
1016;158;127
1017;158;119
1018;158;115
1019;158;107
1020;158;100
1021;158;91
1022;158;81
1023;158;73
1024;158;68
1025;158;60
1026;158;52
1027;158;45
1028;158;37
1029;158;29
1030;158;21
1031;158;15
1032;158;7
1033;166;0
1034;166;6
1035;166;11
1036;166;22
1037;166;29
1038;166;33
1039;166;43
1040;166;51
1041;166;57
1042;166;66
1043;166;74
1044;166;81
1045;166;89
1046;166;98
1047;166;106
1048;166;112
1049;166;121
1050;166;129
1051;166;136
1052;166;143
1053;166;151
1054;166;160
1055;166;167
1056;166;174
1057;166;182
1058;166;191
1059;166;198
1060;166;204
1061;166;210
1062;166;218
1063;166;229
1064;166;237
1065;166;241
1066;166;250
1067;166;255
1068;166;263
1069;166;272
1070;166;282
1071;166;285
1072;166;295
1073;166;306
1074;166;310
1075;166;319
1076;166;326
1077;166;334
1078;166;341
1079;166;349
1080;173;356
1081;173;351
1082;173;343
1083;173;335
1084;173;328
1085;173;321
1086;173;312
1087;173;303
1088;173;296
1089;173;289
1090;173;282
1091;173;273
1092;173;267
1093;173;259
1094;173;253
1095;173;244
1096;173;235
1097;173;227
1098;173;220
1099;173;212
1100;173;207
1101;173;198
1102;173;189
1103;173;182
1104;173;173
1105;173;166
1106;173;158
1107;173;151
1108;173;143
1109;173;134
1110;173;129
1111;173;119
1112;173;111
1113;173;107
1114;173;99
1115;173;91
1116;173;83
1117;173;76
1118;173;68
1119;173;57
1120;173;53
1121;173;44
1122;173;37
1123;173;29
1124;173;22
1125;173;14
1126;173;6
1127;181;0
1128;181;1
1129;181;5
1130;181;14
1131;181;21
1132;181;29
1133;181;37
1134;181;44
1135;181;53
1136;181;62
1137;181;69
1138;181;75
1139;181;83
1140;181;91
1141;181;98
1142;181;103
1143;181;114
1144;181;120
1145;181;130
1146;181;137
1147;181;144
1148;181;152
1149;181;159
1150;181;166
1151;181;175
1152;181;183
1153;181;191
1154;181;198
1155;181;203
1156;181;212
1157;181;219
1158;181;228
1159;181;234
1160;181;243
1161;181;250
1162;181;258
1163;181;265
1164;181;275
1165;181;280
1166;181;289
1167;181;296
1168;181;304
1169;181;308
1170;181;318
1171;181;328
1172;181;335
1173;181;341
1174;188;356
1175;188;355
1176;188;351
1177;188;340
1178;188;336
1179;188;325
1180;188;322
1181;188;313
1182;188;304
1183;188;295
1184;188;290
1185;188;282
1186;188;274
1187;188;267
1188;188;259
1189;188;252
1190;188;243
1191;188;236
1192;188;228
1193;188;220
1194;188;215
1195;188;204
1196;188;197
1197;188;189
1198;188;182
1199;188;173
1200;188;166
1201;188;160
1202;188;151
1203;188;143
1204;188;135
1205;188;128
1206;188;121
1207;188;115
1208;188;104
1209;188;96
1210;188;92
1211;188;81
1212;188;76
1213;188;68
1214;188;61
1215;188;51
1216;188;45
1217;188;37
1218;188;30
1219;188;22
1220;188;12
1221;188;9
1222;196;0
1223;196;1
1224;196;5
1225;196;13
1226;196;22
1227;196;28
1228;196;36
1229;196;44
1230;196;51
1231;196;59
1232;196;67
1233;196;74
1234;196;80
1235;196;89
1236;196;98
1237;196;105
1238;196;113
1239;196;122
1240;196;129
1241;196;136
1242;196;145
1243;196;150
1244;196;160
1245;196;168
1246;196;175
1247;196;183
1248;196;190
1249;196;198
1250;196;206
1251;196;213
1252;196;220
1253;196;228
1254;196;235
1255;196;243
1256;196;253
1257;196;260
1258;196;267
1259;196;276
1260;196;284
1261;196;290
1262;196;296
1263;196;304
1264;196;315
1265;196;318
1266;196;327
1267;196;334
1268;196;343
1269;203;356
1270;203;348
1271;203;344
1272;203;333
1273;203;330
1274;203;321
1275;203;314
1276;203;302
1277;203;295
1278;203;289
1279;203;282
1280;203;277
1281;203;266
1282;203;258
1283;203;250
1284;203;243
1285;203;235
1286;203;231
1287;203;220
1288;203;214
1289;203;205
1290;203;198
1291;203;191
1292;203;182
1293;203;176
1294;203;166
1295;203;160
1296;203;152
1297;203;144
1298;203;136
1299;203;128
1300;203;120
1301;203;113
1302;203;106
1303;203;96
1304;203;89
1305;203;81
1306;203;73
1307;203;65
1308;203;58
1309;203;49
1310;203;46
1311;203;37
1312;203;30
1313;203;20
1314;203;15
